species;code
Abeliophyllum distichum;extratropical
Acantholippia seriphioides;extratropical
Acanthomintha ilicifolia;extratropical
Acanthomintha lanceolata;extratropical
Acanthomintha obovata;extratropical
Acanthonema diandrum;tropical
Acanthonema strigosum;tropical
Acanthopale confertiflora;tropical
Acanthopale decempedalis;tropical
Acanthopale laxiflora;tropical
Acanthopale madagascariensis;tropical
Acanthopale pubescens;tropical
Acanthoprasium frutescens;extratropical
Acanthopsis carduifolia;extratropical
Acanthopsis disperma;extratropical
Acanthopsis hoffmannseggiana;extratropical
Acanthopsis horrida;extratropical
Acanthorrhinum ramosissimum;extratropical
Acanthus arboreus;generalist
Acanthus dioscoridis;extratropical
Acanthus ebracteatus;tropical
Acanthus eminens;generalist
Acanthus guineensis;tropical
Acanthus hungaricus;extratropical
Acanthus ilicifolius;tropical
Acanthus latisepalus;tropical
Acanthus leucostachyus;tropical
Acanthus mayaccanus;tropical
Acanthus mollis;extratropical
Acanthus montanus;tropical
Acanthus sennii;extratropical
Acanthus spinosus;extratropical
Acanthus ueleensis;tropical
Achetaria azurea;tropical
Achetaria bicolor;tropical
Achetaria crenata;tropical
Achetaria erecta;tropical
Achetaria ocymoides;tropical
Achetaria platychila;tropical
Achetaria scutellariodes;tropical
Achimenes admirabilis;tropical
Achimenes antirrhina;generalist
Achimenes candida;tropical
Achimenes cettoana;tropical
Achimenes dulcis;tropical
Achimenes erecta;tropical
Achimenes fimbriata;generalist
Achimenes flava;tropical
Achimenes glabrata;generalist
Achimenes grandiflora;tropical
Achimenes heterophylla;generalist
Achimenes hintoniana;generalist
Achimenes longiflora;tropical
Achimenes mexicana;generalist
Achimenes misera;tropical
Achimenes obscura;generalist
Achimenes occidentalis;extratropical
Achimenes patens;generalist
Achimenes pedunculata;tropical
Achimenes skinneri;tropical
Achimenes woodii;tropical
Achyrospermum aethiopicum;generalist
Achyrospermum africanum;tropical
Achyrospermum axillare;tropical
Achyrospermum carvalhoi;tropical
Achyrospermum ciliatum;tropical
Achyrospermum cryptanthum;tropical
Achyrospermum densiflorum;generalist
Achyrospermum erythobotrys;tropical
Achyrospermum fruticosum;tropical
Achyrospermum micranthum;tropical
Achyrospermum oblongifolium;tropical
Achyrospermum parviflorum;tropical
Achyrospermum purpureum;tropical
Achyrospermum scandens;tropical
Achyrospermum schimperi;generalist
Achyrospermum tisserantii;tropical
Achyrospermum urens;tropical
Achyrospermum wallichianum;extratropical
Acrotome angustifolia;extratropical
Acrotome fleckii;generalist
Acrotome hispida;extratropical
Acrotome inflata;extratropical
Acrotome pallescens;extratropical
Acrotome thorncroftii;extratropical
Adenocalymma adenophorum;tropical
Adenocalymma allamandiflorum;tropical
Adenocalymma apparicianum;tropical
Adenocalymma apurense;tropical
Adenocalymma arthropetiolatum;tropical
Adenocalymma aspericarpum;tropical
Adenocalymma axillarum;tropical
Adenocalymma bipinnatum;tropical
Adenocalymma biternatum;tropical
Adenocalymma bracteatum;tropical
Adenocalymma bracteolatum;tropical
Adenocalymma bracteosum;tropical
Adenocalymma calcareum;tropical
Adenocalymma campicola;tropical
Adenocalymma chocoense;tropical
Adenocalymma cladotrichum;tropical
Adenocalymma comosum;tropical
Adenocalymma contractum;tropical
Adenocalymma coriaceum;tropical
Adenocalymma croatii;tropical
Adenocalymma cymbalum;tropical
Adenocalymma dichilum;tropical
Adenocalymma divaricatum;tropical
Adenocalymma dusenii;tropical
Adenocalymma flaviflorum;tropical
Adenocalymma flavum;tropical
Adenocalymma fruticosum;tropical
Adenocalymma gracielzae;tropical
Adenocalymma hatschbachii;tropical
Adenocalymma heterophyllum;tropical
Adenocalymma hirtum;tropical
Adenocalymma hypostictum;tropical
Adenocalymma imperatoris-maximilianii;tropical
Adenocalymma impressum;tropical
Adenocalymma inundatum;tropical
Adenocalymma involucratum;tropical
Adenocalymma juliae;tropical
Adenocalymma longilineum;tropical
Adenocalymma magdalenense;tropical
Adenocalymma magnificum;tropical
Adenocalymma marginatum;tropical
Adenocalymma moringifolium;tropical
Adenocalymma neoflavidum;tropical
Adenocalymma nodosum;tropical
Adenocalymma patulum;tropical
Adenocalymma paulistarum;generalist
Adenocalymma pedunculatum;tropical
Adenocalymma peregrinum;tropical
Adenocalymma pseudopatulum;tropical
Adenocalymma pubescens;tropical
Adenocalymma purpurascens;tropical
Adenocalymma racemosum;tropical
Adenocalymma reticulatum;tropical
Adenocalymma salmoneum;tropical
Adenocalymma saulense;tropical
Adenocalymma scabriusculum;tropical
Adenocalymma scansile;tropical
Adenocalymma schomburgkii;tropical
Adenocalymma subincanum;tropical
Adenocalymma subsessilifolium;tropical
Adenocalymma tanaeciicarpum;tropical
Adenocalymma ternatum;tropical
Adenocalymma trichocladum;tropical
Adenocalymma trifoliatum;tropical
Adenocalymma uleanum;tropical
Adenosma glutinosum;tropical
Adenosma indianum;generalist
Adenosma muelleri;tropical
Aeginetia indica;generalist
Aeginetia pedunculata;generalist
Aeginetia sinensis;extratropical
Aegiphila alba;generalist
Aegiphila anomala;tropical
Aegiphila bogotensis;generalist
Aegiphila boliviana;tropical
Aegiphila brachiata;generalist
Aegiphila bracteolosa;tropical
Aegiphila brenesii;tropical
Aegiphila candelabrum;tropical
Aegiphila cephalophora;tropical
Aegiphila chrysantha;tropical
Aegiphila cordata;tropical
Aegiphila cordifolia;tropical
Aegiphila costaricensis;tropical
Aegiphila cuatrecasasii;tropical
Aegiphila cuneata;tropical
Aegiphila deppeana;tropical
Aegiphila elata;tropical
Aegiphila falcata;tropical
Aegiphila fasciculata;tropical
Aegiphila fendleri;tropical
Aegiphila ferruginea;extratropical
Aegiphila filipes;tropical
Aegiphila floribunda;tropical
Aegiphila fluminensis;tropical
Aegiphila glabrata;tropical
Aegiphila glomerata;tropical
Aegiphila gloriosa;tropical
Aegiphila grandis;tropical
Aegiphila graveolens;tropical
Aegiphila haughtii;tropical
Aegiphila herzogii;tropical
Aegiphila hirsuta;tropical
Aegiphila hirsutissima;tropical
Aegiphila hoehnei;tropical
Aegiphila insignis;tropical
Aegiphila integrifolia;tropical
Aegiphila intermedia;tropical
Aegiphila laeta;tropical
Aegiphila laevis;tropical
Aegiphila lanata;tropical
Aegiphila laxiflora;tropical
Aegiphila lehmannii;tropical
Aegiphila lhotzkiana;tropical
Aegiphila luschnathii;tropical
Aegiphila macrantha;tropical
Aegiphila martinicensis;tropical
Aegiphila mediterranea;generalist
Aegiphila membranacea;tropical
Aegiphila microcalycina;tropical
Aegiphila moldenkeana;tropical
Aegiphila mollis;tropical
Aegiphila monstrosa;tropical
Aegiphila monticola;extratropical
Aegiphila mortonii;extratropical
Aegiphila multiflora;generalist
Aegiphila novogranatensis;tropical
Aegiphila obducta;generalist
Aegiphila odontophylla;tropical
Aegiphila panamensis;tropical
Aegiphila paraguariensis;tropical
Aegiphila parviflora;tropical
Aegiphila pennellii;tropical
Aegiphila pernambucensis;tropical
Aegiphila peruviana;tropical
Aegiphila purpurascens;extratropical
Aegiphila quararibeana;tropical
Aegiphila quinduensis;tropical
Aegiphila racemosa;tropical
Aegiphila riedeliana;tropical
Aegiphila roraimensis;tropical
Aegiphila saltensis;extratropical
Aegiphila scandens;tropical
Aegiphila schimpffii;tropical
Aegiphila sellowiana;tropical
Aegiphila setiformis;generalist
Aegiphila skutchii;tropical
Aegiphila smithii;tropical
Aegiphila sordida;tropical
Aegiphila spicata;generalist
Aegiphila standleyi;tropical
Aegiphila sufflava;tropical
Aegiphila ternifolia;tropical
Aegiphila truncata;tropical
Aegiphila ulei;tropical
Aegiphila valerioi;tropical
Aegiphila vallensis;tropical
Aegiphila venezuelensis;tropical
Aegiphila verticillata;tropical
Aegiphila villosa;tropical
Aegiphila vitelliniflora;tropical
Aegiphila volubilis;tropical
Aegiphila wigandioides;tropical
Aeollanthus abyssinicus;generalist
Aeollanthus angustifolius;tropical
Aeollanthus breviflorus;generalist
Aeollanthus buchnerianus;extratropical
Aeollanthus densiflorus;generalist
Aeollanthus engleri;generalist
Aeollanthus holstii;tropical
Aeollanthus homblei;generalist
Aeollanthus myrianthus;tropical
Aeollanthus neglectus;generalist
Aeollanthus parvifolius;generalist
Aeollanthus pubescens;tropical
Aeollanthus rehmannii;extratropical
Aeollanthus repens;tropical
Aeollanthus saxatilis;tropical
Aeollanthus serpiculoides;tropical
Aeollanthus stuhlmannii;tropical
Aeollanthus suaveolens;tropical
Aeollanthus subacaulis;generalist
Aeollanthus subintegrus;generalist
Aeollanthus trifidus;tropical
Aeollanthus zanzibaricus;tropical
Aeschynanthus acuminatissimus;extratropical
Aeschynanthus acuminatus;generalist
Aeschynanthus albidus;tropical
Aeschynanthus andersonii;tropical
Aeschynanthus angustifolius;tropical
Aeschynanthus angustioblongus;generalist
Aeschynanthus arfakensis;tropical
Aeschynanthus batakiorum;undetermined
Aeschynanthus brachyphyllus;tropical
Aeschynanthus bracteatus;generalist
Aeschynanthus buxifolius;generalist
Aeschynanthus calanthus;tropical
Aeschynanthus chiritoides;generalist
Aeschynanthus citrinus;tropical
Aeschynanthus curtisii;tropical
Aeschynanthus curvicalyx;undetermined
Aeschynanthus ellipticus;tropical
Aeschynanthus fecundus;tropical
Aeschynanthus fulgens;tropical
Aeschynanthus garrettii;tropical
Aeschynanthus gracilis;generalist
Aeschynanthus hians;tropical
Aeschynanthus hookeri;extratropical
Aeschynanthus horsfieldii;tropical
Aeschynanthus hosseusii;tropical
Aeschynanthus humilis;generalist
Aeschynanthus kermesinus;tropical
Aeschynanthus lasianthus;extratropical
Aeschynanthus leptocladus;tropical
Aeschynanthus linearifolius;extratropical
Aeschynanthus lineatus;generalist
Aeschynanthus longicaulis;tropical
Aeschynanthus longiflorus;tropical
Aeschynanthus magnificus;tropical
Aeschynanthus mendumiae;tropical
Aeschynanthus micranthus;generalist
Aeschynanthus obconicus;tropical
Aeschynanthus oxychlamys;tropical
Aeschynanthus pachyanthus;tropical
Aeschynanthus parasiticus;extratropical
Aeschynanthus parviflorus;generalist
Aeschynanthus pulcher;tropical
Aeschynanthus pullei;tropical
Aeschynanthus radicans;tropical
Aeschynanthus rhododendron;tropical
Aeschynanthus siphonanthus;tropical
Aeschynanthus speciosus;tropical
Aeschynanthus stenosepalus;extratropical
Aeschynanthus superbus;generalist
Aeschynanthus tengchungensis;extratropical
Aeschynanthus tricolor;tropical
Aeschynanthus tubulosus;extratropical
Aeschynanthus volubilis;tropical
Aeschynanthus wallichii;tropical
Aeschynanthus wardii;extratropical
Afrofittonia silvestris;tropical
Agalinis acuta;extratropical
Agalinis angustifolia;tropical
Agalinis aphylla;extratropical
Agalinis aspera;extratropical
Agalinis auriculata;extratropical
Agalinis bangii;extratropical
