species;plastome;ITS;matK;ndhF;rbcL;atpB.rbcL;ndhA_intron;rpl16_intron;rpl32.trnL;rps16_intron;trnL.F
Abeliophyllum distichum;KT274029;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Acantholippia deserticola;NA;NA;NA;HM216681;NA;NA;NA;NA;KF688781;NA;HM216585
Acantholippia salsoloides;NA;NA;HM853864;HM216682;HM853897;NA;NA;NA;JX966845;NA;HM216586
Acantholippia trifida;NA;NA;NA;NA;NA;NA;NA;NA;KF688785;NA;NA
Acanthomintha duttonii;NA;JQ669072;NA;NA;NA;NA;NA;NA;JQ669271;NA;JQ669020
Acanthomintha ilicifolia;NA;KC591662;NA;NA;NA;NA;NA;NA;NA;NA;GU381575
Acanthomintha lanceolata;NA;NA;NA;NA;NA;NA;NA;NA;JQ669272;NA;DQ667522
Acanthomintha obovata;NA;GU381413;NA;NA;NA;NA;NA;NA;NA;NA;GU381573
Acanthopale confertiflora;NA;MF044713;NA;NA;NA;NA;NA;NA;NA;KC420526;NA
Acanthoprasium frutescens;NA;MH684922;HQ911487;NA;NA;NA;NA;NA;MH701788;MH684982;MH685045
Acanthoprasium integrifolium;NA;NA;HQ911486;NA;NA;NA;NA;NA;NA;NA;NA
Acanthopsis carduifolia;NA;NA;NA;NA;NA;NA;NA;NA;NA;DQ059140;DQ054850
Acanthopsis disperma;NA;DQ028411;NA;NA;NA;NA;NA;NA;NA;DQ059142;KC420610
Acanthopsis hoffmannseggiana;NA;KM034004;NA;NA;NA;NA;NA;NA;KM033945;DQ059141;DQ054851
Acanthorrhinum ramosissimum;NA;AY731261;NA;JN848476;NA;NA;NA;NA;KM104746;NA;NA
Acanthura mattogrossensis;NA;EU528875;NA;NA;NA;NA;NA;NA;NA;EU529005;EU528913
Acanthus ebracteatus;NA;KM652492;KX231340;NA;AY289682;NA;NA;NA;NA;NA;KM888784
Acanthus eminens;NA;NA;NA;NA;NA;NA;NA;NA;NA;DQ059144;DQ054853
Acanthus ilicifolius;NA;FJ976671;KF848283;NA;KF848219;NA;NA;NA;NA;DQ059143;KM888781
Acanthus leucostachyus;NA;KM652496;NA;NA;NA;NA;NA;NA;NA;NA;KM888787
Acanthus mollis;NA;KM652498;HM850911;NA;HM849737;NA;NA;NA;NA;DQ059145;AF061824
Acanthus montanus;NA;AF169756;HQ384511;AJ429115;L12592;NA;NA;NA;NA;DQ059146;AF061823
Acanthus pubescens;NA;DQ028414;NA;NA;NA;NA;NA;NA;NA;DQ059147;DQ054855
Acanthus sennii;NA;DQ028415;NA;NA;NA;NA;NA;NA;NA;DQ059148;DQ054856
Acanthus spinosus;NA;AF169757;MF350143;NA;MF349678;NA;NA;NA;NA;DQ059149;AF167331
Acanthus volubilis;NA;KM652494;NA;NA;NA;NA;NA;NA;NA;NA;KM888785
Achetaria azurea;NA;NA;NA;EF527468;NA;NA;NA;NA;NA;NA;NA
Achetaria erecta;NA;NA;NA;NA;NA;NA;NA;NA;NA;MH129618;MH129714
Achetaria ocymoides;NA;NA;NA;NA;NA;NA;NA;MH129667;NA;MH129619;MH129715
Achetaria platychila;NA;NA;NA;NA;NA;NA;NA;MH129668;NA;MH129620;MH129716
Achetaria scutellarioides;NA;NA;NA;EF527469;NA;NA;NA;MH129669;NA;MH129621;MH129717
Achimenes admirabilis;NA;AY182173;JX195949;NA;NA;AJ439982;NA;AJ487784;NA;JX195806;AJ439827
Achimenes antirrhina;NA;AY182190;NA;NA;NA;NA;NA;NA;NA;NA;AY182219
Achimenes candida;NA;AY182174;JQ587950;NA;JQ592147;NA;NA;NA;NA;NA;AY047124
Achimenes cettoana;NA;AY047066;NA;NA;NA;NA;NA;NA;NA;JQ954136;AY047125
Achimenes dulcis;NA;AY182175;NA;NA;NA;NA;NA;NA;NA;NA;AY182205
Achimenes erecta;NA;AY182189;NA;NA;NA;NA;NA;NA;NA;NA;AY182217
Achimenes fimbriata;NA;AY182193;NA;NA;NA;NA;NA;NA;NA;NA;AY182222
Achimenes flava;NA;AY182177;NA;NA;NA;NA;NA;NA;NA;NA;AY182206
Achimenes glabrata;NA;AY182194;NA;NA;NA;NA;NA;NA;NA;NA;AY182223
Achimenes grandiflora;NA;AY182179;NA;NA;NA;NA;NA;NA;NA;NA;AY182208
Achimenes heterophylla;NA;AY182199;NA;NA;NA;NA;NA;NA;NA;NA;AY182228
Achimenes hintoniana;NA;AY182197;NA;NA;NA;NA;NA;NA;NA;NA;AY182226
Achimenes longiflora;NA;AY182180;JQ587953;NA;JQ592148;NA;NA;NA;NA;NA;AY182209
Achimenes mexicana;NA;AY182187;NA;NA;NA;NA;NA;NA;NA;NA;AY182216
Achimenes misera;NA;AY047067;NA;NA;NA;NA;NA;NA;NA;NA;AY182214
Achimenes nayaritensis;NA;AY182196;NA;NA;NA;NA;NA;NA;NA;NA;AY182225
Achimenes occidentalis;NA;AY182200;NA;NA;NA;NA;NA;NA;NA;NA;AY182229
Achimenes patens;NA;AY182182;NA;NA;NA;NA;NA;NA;NA;NA;AY182211
Achimenes pedunculata;NA;AY182192;NA;NA;NA;NA;NA;NA;NA;NA;AY182227
Achimenes woodii;NA;AY182195;NA;NA;NA;NA;NA;NA;NA;NA;AY182224
Achyrocalyx decaryi;NA;DQ028432;NA;NA;NA;NA;NA;NA;NA;DQ059177;DQ054875
Achyrospermum africanum;NA;NA;HQ911418;NA;NA;NA;NA;NA;NA;FJ853999;FJ854246
Achyrospermum axillare;NA;NA;NA;NA;NA;NA;NA;NA;NA;FJ854000;FJ854247
Achyrospermum carvalhoi;NA;NA;HQ911412;NA;NA;NA;NA;NA;NA;FJ854001;FJ854248
Achyrospermum cryptanthum;NA;NA;HQ911415;NA;NA;NA;NA;NA;NA;FJ854002;FJ854249
Achyrospermum fruticosum;NA;NA;HQ911419;NA;NA;NA;NA;NA;NA;FJ854004;FJ854251
Achyrospermum laterale;NA;NA;HQ911413;NA;NA;NA;NA;NA;NA;FJ854005;FJ854252
Achyrospermum parviflorum;NA;NA;HQ911417;NA;NA;NA;NA;NA;NA;FJ854006;FJ854253
Achyrospermum schimperi;NA;NA;HQ911416;NA;NA;NA;NA;NA;NA;FJ854009;FJ854256
